position,sample_index,relative_path,class_name,class_index
0,162,train/anger/10_image0018010.jpg,anger,0
1,1223,train/anger/5_image0028889.jpg,anger,0
2,5866,train/happy/15_ffhq_4702.png,happy,4
3,1817,train/contempt/15_image0032485.jpg,contempt,1
4,87,train/anger/10_image0012043.jpg,anger,0
5,9852,train/surprise/5_ffhq_406.png,surprise,7
6,3004,train/disgust/15_image0011767.jpg,disgust,2
7,2976,train/disgust/10_image0042353.jpg,disgust,2
8,2081,train/contempt/15_image0041686.jpg,contempt,1
9,9901,train/surprise/5_image0006399.jpg,surprise,7
10,3708,train/disgust/5_image0041383.jpg,disgust,2
11,9248,train/surprise/10_image0030961.jpg,surprise,7
12,6009,train/happy/5_ffhq_1625.png,happy,4
13,1420,train/contempt/10_image0032450.jpg,contempt,1
14,2587,train/disgust/10_image0017886.jpg,disgust,2
15,7000,train/neutral/15_ffhq_368.png,neutral,5
16,7703,train/sad/10_image0003668.jpg,sad,6
17,2378,train/contempt/5_image0037770.jpg,contempt,1
18,9884,train/surprise/5_image0000993.jpg,surprise,7
19,7265,train/neutral/5_ffhq_1269.png,neutral,5
20,3882,train/fear/10_image0031780.jpg,fear,3
21,6696,train/neutral/10_ffhq_5157.png,neutral,5
22,457,train/anger/15_image0003019.jpg,anger,0
23,7725,train/sad/10_image0006254.jpg,sad,6
24,2633,train/disgust/10_image0028636.jpg,disgust,2
25,729,train/anger/15_image0025499.jpg,anger,0
26,9554,train/surprise/15_image0021814.jpg,surprise,7
27,8181,train/sad/15_image0014153.jpg,sad,6
28,4503,train/fear/15_image0038826.jpg,fear,3
29,8326,train/sad/15_image0023244.jpg,sad,6
30,2423,train/contempt/5_image0039210.jpg,contempt,1
31,5085,train/happy/10_ffhq_1207.png,happy,4
32,9766,train/surprise/15_image0033475.jpg,surprise,7
33,4054,train/fear/10_image0037594.jpg,fear,3
34,3118,train/disgust/15_image0035435.jpg,disgust,2
35,8026,train/sad/10_image0028911.jpg,sad,6
36,9426,train/surprise/15_ffhq_83.png,surprise,7
37,6500,train/neutral/10_ffhq_2352.png,neutral,5
38,4222,train/fear/15_image0020273.jpg,fear,3
39,3401,train/disgust/5_image0016638.jpg,disgust,2
40,8534,train/sad/5_image0000327.jpg,sad,6
41,4101,train/fear/10_image0038898.jpg,fear,3
42,4773,train/fear/5_image0032640.jpg,fear,3
43,7919,train/sad/10_image0023776.jpg,sad,6
44,8583,train/sad/5_image0006475.jpg,sad,6
45,8067,train/sad/10_image0030085.jpg,sad,6
46,8595,train/sad/5_image0007820.jpg,sad,6
47,4746,train/fear/5_image0031550.jpg,fear,3
48,7147,train/neutral/15_ffhq_5378.png,neutral,5
49,5360,train/happy/10_ffhq_413.png,happy,4
50,4953,train/fear/5_image0038533.jpg,fear,3
51,4343,train/fear/15_image0033633.jpg,fear,3
52,821,train/anger/15_image0029959.jpg,anger,0
53,4172,train/fear/10_image0040886.jpg,fear,3
54,7738,train/sad/10_image0008899.jpg,sad,6
55,4886,train/fear/5_image0036797.jpg,fear,3
56,8533,train/sad/5_image0000274.jpg,sad,6
57,3605,train/disgust/5_image0038035.jpg,disgust,2
58,9774,train/surprise/15_image0033705.jpg,surprise,7
59,52,train/anger/10_image0007755.jpg,anger,0
60,7947,train/sad/10_image0025524.jpg,sad,6
61,6983,train/neutral/15_ffhq_2966.png,neutral,5
62,6856,train/neutral/15_ffhq_1673.png,neutral,5
63,784,train/anger/15_image0028095.jpg,anger,0
