position,sample_index,relative_path,class_name,class_index
0,1166,train/anger/5_image0026817.jpg,anger,0
1,9194,train/surprise/10_image0027010.jpg,surprise,7
2,4512,train/fear/15_image0039038.jpg,fear,3
3,6029,train/happy/5_ffhq_1899.png,happy,4
4,7141,train/neutral/15_ffhq_5213.png,neutral,5
5,5052,train/fear/5_image0040795.jpg,fear,3
6,4641,train/fear/5_image0015432.jpg,fear,3
7,151,train/anger/10_image0017335.jpg,anger,0
8,8544,train/sad/5_image0002304.jpg,sad,6
9,2350,train/contempt/5_image0036621.jpg,contempt,1
10,6656,train/neutral/10_ffhq_4639.png,neutral,5
11,9515,train/surprise/15_image0018169.jpg,surprise,7
12,9756,train/surprise/15_image0033330.jpg,surprise,7
13,5537,train/happy/15_ffhq_139.png,happy,4
14,5171,train/happy/10_ffhq_1997.png,happy,4
15,9399,train/surprise/15_ffhq_433.png,surprise,7
16,8931,train/sad/5_image0029777.jpg,sad,6
17,2876,train/disgust/10_image0039774.jpg,disgust,2
18,6430,train/neutral/10_ffhq_1694.png,neutral,5
19,7130,train/neutral/15_ffhq_5045.png,neutral,5
20,6379,train/neutral/10_ffhq_115.png,neutral,5
21,190,train/anger/10_image0019225.jpg,anger,0
22,10247,train/surprise/5_image0034846.jpg,surprise,7
23,3774,train/disgust/5_image0042519.jpg,disgust,2
24,3264,train/disgust/15_image0040011.jpg,disgust,2
25,5465,train/happy/10_ffhq_67.png,happy,4
26,2598,train/disgust/10_image0020062.jpg,disgust,2
27,7448,train/neutral/5_ffhq_3767.png,neutral,5
28,4554,train/fear/15_image0039987.jpg,fear,3
29,5299,train/happy/10_ffhq_3366.png,happy,4
30,7527,train/neutral/5_ffhq_4411.png,neutral,5
31,7812,train/sad/10_image0017473.jpg,sad,6
32,4268,train/fear/15_image0028130.jpg,fear,3
33,6080,train/happy/5_ffhq_2528.png,happy,4
34,4186,train/fear/15_image0004362.jpg,fear,3
35,8786,train/sad/5_image0023623.jpg,sad,6
36,6360,train/happy/5_ffhq_956.png,happy,4
37,424,train/anger/10_image0030375.jpg,anger,0
38,286,train/anger/10_image0023193.jpg,anger,0
39,9283,train/surprise/10_image0032673.jpg,surprise,7
40,6297,train/happy/5_ffhq_4632.png,happy,4
41,5455,train/happy/10_ffhq_6.png,happy,4
42,9499,train/surprise/15_image0015263.jpg,surprise,7
43,2610,train/disgust/10_image0023229.jpg,disgust,2
44,832,train/anger/15_image0030447.jpg,anger,0
45,5281,train/happy/10_ffhq_3139.png,happy,4
46,2464,train/contempt/5_image0040814.jpg,contempt,1
47,9589,train/surprise/15_image0024667.jpg,surprise,7
48,8401,train/sad/15_image0027160.jpg,sad,6
49,3594,train/disgust/5_image0037496.jpg,disgust,2
50,6165,train/happy/5_ffhq_3220.png,happy,4
51,9833,train/surprise/5_ffhq_157.png,surprise,7
52,6437,train/neutral/10_ffhq_1780.png,neutral,5
53,9852,train/surprise/5_ffhq_406.png,surprise,7
54,6647,train/neutral/10_ffhq_4536.png,neutral,5
55,8896,train/sad/5_image0028484.jpg,sad,6
56,4780,train/fear/5_image0033067.jpg,fear,3
57,3923,train/fear/10_image0033761.jpg,fear,3
58,3950,train/fear/10_image0035047.jpg,fear,3
59,6740,train/neutral/10_ffhq_5596.png,neutral,5
60,9524,train/surprise/15_image0018975.jpg,surprise,7
61,8108,train/sad/15_image0005639.jpg,sad,6
62,320,train/anger/10_image0025593.jpg,anger,0
63,6680,train/neutral/10_ffhq_4890.png,neutral,5
