framework,seed,epoch,schedule_index,num_samples,order_hash
keras,42,1,0,10251,9a886b206e6612468b009a85ea9a7dacab036a0403d5dffca64b3fc72f42ffc2
keras,42,2,1,10251,ce2ad93d2f2eff66add4cfeb6b83c4f025b7b71735f0d2f79ab437ec63911453
keras,42,3,2,10251,5c8a114fcb2167533f7433e6d9a51ab97eb48b02e4022d2cbef42c4fd33eacd0
keras,42,4,3,10251,4f52641a32c63e644a7acd9edcce8ec8f8d5496af9d676b80902ab9f850c388e
keras,42,5,4,10251,c0b1033c1c37b2cdafeac63d0128d6a9e26e804513b488e8212896663f793964
keras,42,6,5,10251,fca8bb2cf66900a62f2ffc32eacc94db38ed5d0667ebe869630c932e51f978d2
keras,42,7,6,10251,e9ad427db5054ebaa7ce9e52ce8d17e2bc0f7400265d30eee28ee365c8d9edd8
keras,42,8,7,10251,a193e6ede8d42806f9d2de2797aacb4318c433ed369ac5d4c832f711aafd2e3d
keras,42,9,8,10251,1c4f619104ed4384fb703574a5d80967ccac8ea3780d30516566a6cc41289516
keras,42,10,9,10251,bcae4da49433c6d2bf404f73ea23956d837a77c9329e59f1cef21e402c536a25
keras,42,11,10,10251,1dacd4d733674ba9a464f98373538bd7448c65e4ba0dd57e055a521a81d28f16
keras,42,12,11,10251,0b7535122d5017a556c3835c361efa62c8e41c6da9b80543ffe1e54216feaa5c
keras,42,13,12,10251,52346e735a4df042e42c9887b30392dcbf7422d362959dc13bec7a491b8e1508
keras,42,14,13,10251,d2dafe59e9b294a0e4df064fb76452760ce2301dd8e9435b14b7e0ec8828f44d
keras,42,15,14,10251,da5e3a56b809b487141a36225e262e3e79db9602c0e651b5c0d060f9fdbcbc81
keras,42,16,15,10251,9c4f9e1337aa9215ed43d2edc3a27bdc9fa8da0ef99ea504929c754618fa0d22
keras,42,17,16,10251,be20e9051bc53700b2b6a070667d674c902143d8a75f6da0091782a983efc8b1
keras,42,18,17,10251,3053e736d2369878fb201aceb3a14ada73e8d815c1d67604550b7ac0b0c2faaa
keras,42,19,18,10251,cda09e8498047e6da2edf5c9f80135a9e310556d1294e6d002da4877079f49bc
keras,42,20,19,10251,7a23906e7aebb8d703427947e2526205d16b8f03d8bf085d9833d64d87a823fa
keras,42,21,20,10251,29408110745c3097ebf299fa98c8982346ce6f16c56f6753059eb9fb8573dae1
keras,42,22,21,10251,5629f359c99ec2588c7f763671ef2767ad6a48985611078cc092360beb5975b0
keras,42,23,22,10251,5d8e06668c4e358f621f8d3cca362d6b7cb9b9990584e057f0618fb73b30ce5d
keras,42,24,23,10251,e50e78051de7cb5ab53a07eb1e1d82106107282920728975e6baf22ae045b588
keras,42,25,24,10251,4e25dfb2b5ff3676ea4cbfbbec8a52a7eeb8a35c32c9d98c4f02633200497386
keras,42,26,25,10251,5a060329cf1cddd83ec29e7385135c70b67922bfef9c6a30a51c1a8e81e174db
keras,42,27,26,10251,ea0a26415c9841d83626f429af5bae27b9c3921ecf09926c7b1b289ac3688c0d
