framework,seed,epoch,schedule_index,batch_index,position_in_batch,sample_index,relative_path
keras,42,15,14,1,0,304,train/anger/10_image0024417.jpg
keras,42,15,14,1,1,4484,train/fear/15_image0038400.jpg
keras,42,15,14,1,2,842,train/anger/15_image0030722.jpg
keras,42,15,14,1,3,320,train/anger/10_image0025593.jpg
keras,42,15,14,1,4,9820,train/surprise/15_image0034871.jpg
keras,42,15,14,1,5,4985,train/fear/5_image0039313.jpg
keras,42,15,14,1,6,8411,train/sad/15_image0027458.jpg
keras,42,15,14,1,7,9076,train/surprise/10_image0014762.jpg
keras,42,15,14,1,8,3792,train/fear/10_image0013830.jpg
keras,42,15,14,1,9,8111,train/sad/15_image0006101.jpg
keras,42,15,14,1,10,141,train/anger/10_image0016786.jpg
keras,42,15,14,1,11,1069,train/anger/5_image0022209.jpg
keras,42,15,14,1,12,4173,train/fear/10_image0040887.jpg
keras,42,15,14,1,13,7284,train/neutral/5_ffhq_1501.png
keras,42,15,14,1,14,9028,train/surprise/10_image0005401.jpg
keras,42,15,14,1,15,7014,train/neutral/15_ffhq_3843.png
keras,42,15,14,1,16,5867,train/happy/15_ffhq_4710.png
keras,42,15,14,1,17,7458,train/neutral/5_ffhq_3830.png
keras,42,15,14,1,18,272,train/anger/10_image0022836.jpg
keras,42,15,14,1,19,7703,train/sad/10_image0003668.jpg
keras,42,15,14,1,20,1106,train/anger/5_image0023764.jpg
keras,42,15,14,1,21,7084,train/neutral/15_ffhq_4510.png
keras,42,15,14,1,22,1079,train/anger/5_image0022876.jpg
keras,42,15,14,1,23,6734,train/neutral/10_ffhq_5528.png
keras,42,15,14,1,24,4048,train/fear/10_image0037437.jpg
keras,42,15,14,1,25,7961,train/sad/10_image0026208.jpg
keras,42,15,14,1,26,4360,train/fear/15_image0034676.jpg
keras,42,15,14,1,27,4759,train/fear/5_image0032232.jpg
keras,42,15,14,1,28,6351,train/happy/5_ffhq_869.png
keras,42,15,14,1,29,3148,train/disgust/15_image0036386.jpg
keras,42,15,14,1,30,3060,train/disgust/15_image0031087.jpg
keras,42,15,14,1,31,3426,train/disgust/5_image0024271.jpg
keras,42,15,14,2,0,5196,train/happy/10_ffhq_228.png
keras,42,15,14,2,1,7433,train/neutral/5_ffhq_2956.png
keras,42,15,14,2,2,315,train/anger/10_image0025281.jpg
keras,42,15,14,2,3,6004,train/happy/5_ffhq_1580.png
keras,42,15,14,2,4,7850,train/sad/10_image0019936.jpg
keras,42,15,14,2,5,2941,train/disgust/10_image0041728.jpg
keras,42,15,14,2,6,3574,train/disgust/5_image0037092.jpg
keras,42,15,14,2,7,7550,train/neutral/5_ffhq_4702.png
keras,42,15,14,2,8,3548,train/disgust/5_image0036280.jpg
keras,42,15,14,2,9,7752,train/sad/10_image0011081.jpg
keras,42,15,14,2,10,6259,train/happy/5_ffhq_4279.png
keras,42,15,14,2,11,5407,train/happy/10_ffhq_4638.png
keras,42,15,14,2,12,3039,train/disgust/15_image0025539.jpg
keras,42,15,14,2,13,4316,train/fear/15_image0032493.jpg
keras,42,15,14,2,14,6822,train/neutral/15_ffhq_1277.png
keras,42,15,14,2,15,7452,train/neutral/5_ffhq_3793.png
keras,42,15,14,2,16,5654,train/happy/15_ffhq_2450.png
keras,42,15,14,2,17,9490,train/surprise/15_image0012808.jpg
keras,42,15,14,2,18,6910,train/neutral/15_ffhq_2201.png
keras,42,15,14,2,19,5023,train/fear/5_image0040212.jpg
keras,42,15,14,2,20,1279,train/contempt/10_ffhq_40.png
keras,42,15,14,2,21,3620,train/disgust/5_image0038458.jpg
keras,42,15,14,2,22,2148,train/contempt/5_image0005168.jpg
keras,42,15,14,2,23,9228,train/surprise/10_image0029424.jpg
keras,42,15,14,2,24,3703,train/disgust/5_image0041326.jpg
keras,42,15,14,2,25,29,train/anger/10_image0004181.jpg
