framework,seed,epoch,schedule_index,batch_index,position_in_batch,sample_index,relative_path
pytorch,42,4,3,1,0,4902,train/fear/5_image0037342.jpg
pytorch,42,4,3,1,1,2841,train/disgust/10_image0038820.jpg
pytorch,42,4,3,1,2,2172,train/contempt/5_image0014850.jpg
pytorch,42,4,3,1,3,3856,train/fear/10_image0029043.jpg
pytorch,42,4,3,1,4,4498,train/fear/15_image0038734.jpg
pytorch,42,4,3,1,5,7391,train/neutral/5_ffhq_2613.png
pytorch,42,4,3,1,6,4210,train/fear/15_image0017932.jpg
pytorch,42,4,3,1,7,3315,train/disgust/15_image0041403.jpg
pytorch,42,4,3,1,8,7731,train/sad/10_image0007428.jpg
pytorch,42,4,3,1,9,5010,train/fear/5_image0039905.jpg
pytorch,42,4,3,1,10,4807,train/fear/5_image0034898.jpg
pytorch,42,4,3,1,11,3852,train/fear/10_image0027930.jpg
pytorch,42,4,3,1,12,9444,train/surprise/15_image0004137.jpg
pytorch,42,4,3,1,13,9024,train/surprise/10_image0003012.jpg
pytorch,42,4,3,1,14,5282,train/happy/10_ffhq_3141.png
pytorch,42,4,3,1,15,7716,train/sad/10_image0005441.jpg
pytorch,42,4,3,1,16,7237,train/neutral/5_ffhq_1035.png
pytorch,42,4,3,1,17,4802,train/fear/5_image0034808.jpg
pytorch,42,4,3,1,18,5756,train/happy/15_ffhq_3593.png
pytorch,42,4,3,1,19,789,train/anger/15_image0028357.jpg
pytorch,42,4,3,1,20,563,train/anger/15_image0018142.jpg
pytorch,42,4,3,1,21,1123,train/anger/5_image0024478.jpg
pytorch,42,4,3,1,22,7176,train/neutral/15_ffhq_619.png
pytorch,42,4,3,1,23,9474,train/surprise/15_image0010137.jpg
pytorch,42,4,3,1,24,4324,train/fear/15_image0032880.jpg
pytorch,42,4,3,1,25,1680,train/contempt/10_image0042103.jpg
pytorch,42,4,3,1,26,4850,train/fear/5_image0035785.jpg
pytorch,42,4,3,1,27,6673,train/neutral/10_ffhq_4844.png
pytorch,42,4,3,1,28,2669,train/disgust/10_image0032404.jpg
pytorch,42,4,3,1,29,185,train/anger/10_image0019032.jpg
pytorch,42,4,3,1,30,2483,train/contempt/5_image0041205.jpg
pytorch,42,4,3,1,31,4897,train/fear/5_image0037117.jpg
pytorch,42,4,3,2,0,5215,train/happy/10_ffhq_2486.png
pytorch,42,4,3,2,1,684,train/anger/15_image0023827.jpg
pytorch,42,4,3,2,2,2721,train/disgust/10_image0035227.jpg
pytorch,42,4,3,2,3,4814,train/fear/5_image0035050.jpg
pytorch,42,4,3,2,4,8917,train/sad/5_image0029403.jpg
pytorch,42,4,3,2,5,3345,train/disgust/15_image0042122.jpg
pytorch,42,4,3,2,6,4784,train/fear/5_image0033633.jpg
pytorch,42,4,3,2,7,7585,train/neutral/5_ffhq_5107.png
pytorch,42,4,3,2,8,4261,train/fear/15_image0026540.jpg
pytorch,42,4,3,2,9,4987,train/fear/5_image0039403.jpg
pytorch,42,4,3,2,10,4071,train/fear/10_image0038122.jpg
pytorch,42,4,3,2,11,1881,train/contempt/15_image0035728.jpg
pytorch,42,4,3,2,12,4969,train/fear/5_image0038989.jpg
pytorch,42,4,3,2,13,2458,train/contempt/5_image0040453.jpg
pytorch,42,4,3,2,14,6690,train/neutral/10_ffhq_5059.png
pytorch,42,4,3,2,15,5183,train/happy/10_ffhq_2189.png
pytorch,42,4,3,2,16,5819,train/happy/15_ffhq_4209.png
pytorch,42,4,3,2,17,4891,train/fear/5_image0036986.jpg
pytorch,42,4,3,2,18,8900,train/sad/5_image0028579.jpg
pytorch,42,4,3,2,19,6689,train/neutral/10_ffhq_5044.png
pytorch,42,4,3,2,20,4214,train/fear/15_image0018558.jpg
pytorch,42,4,3,2,21,6509,train/neutral/10_ffhq_2452.png
pytorch,42,4,3,2,22,5582,train/happy/15_ffhq_1751.png
pytorch,42,4,3,2,23,9840,train/surprise/5_ffhq_244.png
pytorch,42,4,3,2,24,6317,train/happy/5_ffhq_4907.png
pytorch,42,4,3,2,25,6183,train/happy/5_ffhq_3410.png
pytorch,42,4,3,2,26,2372,train/contempt/5_image0037500.jpg
pytorch,42,4,3,2,27,9580,train/surprise/15_image0024102.jpg
pytorch,42,4,3,2,28,2151,train/contempt/5_image0006153.jpg
pytorch,42,4,3,2,29,914,train/anger/5_image0009439.jpg
pytorch,42,4,3,2,30,2025,train/contempt/15_image0040399.jpg
pytorch,42,4,3,2,31,1999,train/contempt/15_image0039637.jpg
pytorch,42,4,3,3,0,3484,train/disgust/5_image0033382.jpg
pytorch,42,4,3,3,1,9972,train/surprise/5_image0018965.jpg
pytorch,42,4,3,3,2,7021,train/neutral/15_ffhq_3902.png
pytorch,42,4,3,3,3,4519,train/fear/15_image0039154.jpg
pytorch,42,4,3,3,4,6207,train/happy/5_ffhq_3650.png
pytorch,42,4,3,3,5,1750,train/contempt/15_image0021012.jpg
pytorch,42,4,3,3,6,6255,train/happy/5_ffhq_4219.png
pytorch,42,4,3,3,7,6730,train/neutral/10_ffhq_5453.png
pytorch,42,4,3,3,8,8406,train/sad/15_image0027401.jpg
pytorch,42,4,3,3,9,4161,train/fear/10_image0040559.jpg
pytorch,42,4,3,3,10,4836,train/fear/5_image0035481.jpg
pytorch,42,4,3,3,11,3221,train/disgust/15_image0038792.jpg
pytorch,42,4,3,3,12,1644,train/contempt/10_image0041484.jpg
pytorch,42,4,3,3,13,446,train/anger/15_image0001453.jpg
pytorch,42,4,3,3,14,6731,train/neutral/10_ffhq_5472.png
pytorch,42,4,3,3,15,3525,train/disgust/5_image0035759.jpg
pytorch,42,4,3,3,16,3139,train/disgust/15_image0036033.jpg
pytorch,42,4,3,3,17,7050,train/neutral/15_ffhq_4160.png
pytorch,42,4,3,3,18,5557,train/happy/15_ffhq_157.png
pytorch,42,4,3,3,19,1512,train/contempt/10_image0037170.jpg
pytorch,42,4,3,3,20,2560,train/disgust/10_ffhq_46.png
pytorch,42,4,3,3,21,9147,train/surprise/10_image0022306.jpg
pytorch,42,4,3,3,22,8138,train/sad/15_image0009255.jpg
