framework,experiment,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_epoch_sec
pytorch,03_augmentation_alignment,123,1,2.0290289446384473,0.17549507365135109,2.4101827361959702,0.14357338195077485,0.001,146.36521824996453
pytorch,03_augmentation_alignment,123,2,1.7671555631184692,0.26846161350112185,1.7221276662299714,0.26207839562443025,0.001,146.3860181249911
pytorch,03_augmentation_alignment,123,3,1.6523291138413707,0.31850551165739927,1.727681426536852,0.29307201458523247,0.001,145.80903725000098
pytorch,03_augmentation_alignment,123,4,1.5719937898975247,0.358013852307092,1.949456464407546,0.2438468550592525,0.001,146.69986816699384
pytorch,03_augmentation_alignment,123,5,1.5205704992008888,0.37859721002828994,1.5201252367459543,0.3887876025524157,0.001,146.62548412499018
pytorch,03_augmentation_alignment,123,6,1.4771029802197166,0.4004487367086138,1.7284510998478126,0.3286235186873291,0.001,146.57675729098264
pytorch,03_augmentation_alignment,123,7,1.4347815666649006,0.42825090235099017,1.523679716541426,0.40610756608933457,0.001,146.369764166011
pytorch,03_augmentation_alignment,123,8,1.4074630339707808,0.43166520339479075,1.5338698537543132,0.3705560619872379,0.001,146.4019115419942
pytorch,03_augmentation_alignment,123,9,1.3780290094332257,0.45146814944883423,1.4499553346373106,0.4261622607110301,0.001,146.45914437499596
pytorch,03_augmentation_alignment,123,10,1.3501910599786797,0.46707638279192276,1.4601595374053462,0.4088422971741112,0.001,149.75201970798662
pytorch,03_augmentation_alignment,123,11,1.325818179944773,0.47351477904594674,1.4510135888618672,0.41112123974475845,0.001,147.4608393330127
pytorch,03_augmentation_alignment,123,12,1.3116309226123244,0.4811237928007024,1.5545888842510547,0.4015496809480401,0.001,147.55727387499064
pytorch,03_augmentation_alignment,123,13,1.2862596998050986,0.49390303385035605,1.4884898668000561,0.4170464904284412,0.001,147.42382625001483
pytorch,03_augmentation_alignment,123,14,1.2655397676314486,0.5000487757291971,1.701434795869516,0.3842297174111212,0.0005,147.68964795803186
pytorch,03_augmentation_alignment,123,15,1.2149691373449967,0.5220954053263096,1.4356500613439485,0.4567000911577028,0.0005,147.20785170799354
pytorch,03_augmentation_alignment,123,16,1.1926473463445673,0.5321432055409229,1.4214843802812867,0.4603463992707384,0.0005,148.51630950003164
pytorch,03_augmentation_alignment,123,17,1.183794374024504,0.5358501609599063,1.3228706845176579,0.49407474931631723,0.0005,147.58924112503882
pytorch,03_augmentation_alignment,123,18,1.1605525356585218,0.5492147107599259,1.578641342160478,0.43254329990884227,0.0005,149.48257487500086
pytorch,03_augmentation_alignment,123,19,1.1616520406606545,0.5472636815920398,1.4739358673447789,0.4512306289881495,0.0005,149.7392389579909
pytorch,03_augmentation_alignment,123,20,1.1359367619001763,0.559262510974539,1.3712596218479474,0.4649042844120328,0.0005,149.15237420797348
pytorch,03_augmentation_alignment,123,21,1.122036937201573,0.562481709101551,1.5110228563724264,0.43938012762078393,0.0005,146.37037829100154
pytorch,03_augmentation_alignment,123,22,1.1123704606178924,0.5680421422300264,1.4673748460811382,0.4421148587055606,0.00025,146.7860910000163
pytorch,03_augmentation_alignment,123,23,1.0690699158011616,0.585991610574578,1.351664687463557,0.5022789425706472,0.00025,148.06474945798982
pytorch,03_augmentation_alignment,123,24,1.0494262634771718,0.5987708516242318,1.3271992834677127,0.49407474931631723,0.00025,147.14021883299574
