framework,seed,epoch,schedule_index,mode,num_samples,parameter_hash,interpolation,fill_mode
keras,123,1,0,strict_sample_id,10251,eacb468afe4cba8253128c8eab79d46a42306b0ed3dbf6e45d3881aa3052245b,bilinear,constant_0
keras,123,2,1,strict_sample_id,10251,3b2ef2c0ab2ef33d850eff72dc5d25f749934d23c31d2ba8c026e0eac4dc0b84,bilinear,constant_0
keras,123,3,2,strict_sample_id,10251,67e7a83833c8b1841d94fb142260136f60b08ac61a13ca3df2337a37b09c2c32,bilinear,constant_0
keras,123,4,3,strict_sample_id,10251,525ddde8ace55b6c365e7795c7035301fbcf9b9fecf623f61cf31a03af82838d,bilinear,constant_0
keras,123,5,4,strict_sample_id,10251,ac3c8f11d625c530f4c5fa8c4b91c46268173cdd1c68b5abbf17d8806c3eab35,bilinear,constant_0
keras,123,6,5,strict_sample_id,10251,b400bde79b1d674fb3957e475761aa61a07762dff515e74e2a7102d19c4f26ed,bilinear,constant_0
keras,123,7,6,strict_sample_id,10251,0237e22a73dd562ff00c4bed9a54e7a2d3f6fbdb0848044556570f93622f620a,bilinear,constant_0
keras,123,8,7,strict_sample_id,10251,edd3fcb70b566964a235a79c4bf8d26855832780002fbe7462a25e96f175e78b,bilinear,constant_0
keras,123,9,8,strict_sample_id,10251,46a07d5e7ea65722c532e581fd27f30b9a0df509453e20de300380ca01052a71,bilinear,constant_0
keras,123,10,9,strict_sample_id,10251,bc997409e4593df6805ffc44861eb22792b96c561dde73e39f4f1b3cbb7325b4,bilinear,constant_0
keras,123,11,10,strict_sample_id,10251,27cf72fa31c07cd44ee4cb8434b2fe410ab388602af96e8a552b31a55e557411,bilinear,constant_0
keras,123,12,11,strict_sample_id,10251,7f2e0bc22d757e1964f2ac875688ff0cf3ad16c32ec3fcb3537d6d36b7d05d3c,bilinear,constant_0
keras,123,13,12,strict_sample_id,10251,91580bca3fcedec8dedaab980b1e19aae934124fdb2bd3c3820f66ed966f114e,bilinear,constant_0
keras,123,14,13,strict_sample_id,10251,b515bb4d7fd43b05c9280f292722832fb385d5e98a04df0e42fb15176b8ff6b6,bilinear,constant_0
keras,123,15,14,strict_sample_id,10251,6368b74a0840cc89591320c0785d7069431b3feed85005d98bd56bfe17381ac5,bilinear,constant_0
keras,123,16,15,strict_sample_id,10251,63f3f05a8271ee819af42918317d03f8eb5f27eb2ce298092bdb32969a5dbc93,bilinear,constant_0
keras,123,17,16,strict_sample_id,10251,271ad7a429e1e0e649a3e104b045a1128af995084ad6c04e647ff0a84c5c67ca,bilinear,constant_0
keras,123,18,17,strict_sample_id,10251,8f4535c0f27c360bf0d317f0355dd306f246a341952b2201dede71ecda195ae4,bilinear,constant_0
keras,123,19,18,strict_sample_id,10251,cf4fa34f51a66ed05cb3612ac5342f44fcb19e6f927ab8b569dd00391627450c,bilinear,constant_0
keras,123,20,19,strict_sample_id,10251,7a5be8f4a150f28986cb641c15f0b0210f6ed00be89dd92680fdf275889951bd,bilinear,constant_0
keras,123,21,20,strict_sample_id,10251,7307a5a8f15129485e360e4b1f108bca33bd5ad5a25045eebb8d0a66d431e314,bilinear,constant_0
keras,123,22,21,strict_sample_id,10251,8b80c6b8526358e8214a50056f5ff40bad3a2b0765616d70eaf5c0d2d86efdc3,bilinear,constant_0
keras,123,23,22,strict_sample_id,10251,1c381a79fad2fd5d26282ea043e530beb529d759628d6798a4f04ba2378a8093,bilinear,constant_0
keras,123,24,23,strict_sample_id,10251,2a07214b4d4cd2d9c8385b93b1bda8e5e2dc6d8940f9a8312a257d0097b067d8,bilinear,constant_0
keras,123,25,24,strict_sample_id,10251,b5d8bb7aa9530cfed375721924a97f1d42464e7534ab97892eb289e6d995efc9,bilinear,constant_0
keras,123,26,25,strict_sample_id,10251,eabd7f80dc77bbb078f2de38d3dae662ac76b1212454edbc592c181245f7f5fa,bilinear,constant_0
keras,123,27,26,strict_sample_id,10251,51ac2a9a2f128c632bde0cc8471d4d62316e39b3fe3893931d7989b44160dc40,bilinear,constant_0
keras,123,28,27,strict_sample_id,10251,73063eff0a429b11fa7eec58c82007b95d384f124fa4b2c93af6334ca7360158,bilinear,constant_0
keras,123,29,28,strict_sample_id,10251,771de40d9b31b9021a868b1ca2af23336db67b944af3e0e50d74ff16dd0d56e0,bilinear,constant_0
keras,123,30,29,strict_sample_id,10251,a5788b76434bb41aa7a9dcf1726ec1ad667164816944c3538fcd24ed19c01322,bilinear,constant_0
