framework,seed,epoch,schedule_index,mode,num_samples,parameter_hash,interpolation,fill_mode
pytorch,42,1,0,strict_sample_id,10251,584f0e810f1a2a2739571ef8e479bf590d07123dd533e48999a7c5ca9e7dc9cf,bilinear,constant_0
pytorch,42,2,1,strict_sample_id,10251,6476e9e3315c3677938ad5f7e880787da0fdd0297db45d04cd7a84c409ba3f5b,bilinear,constant_0
pytorch,42,3,2,strict_sample_id,10251,aa59a6fa6c75527c387e56437c3c79d23d0717576d60d4ebb0dff554ad066ae4,bilinear,constant_0
pytorch,42,4,3,strict_sample_id,10251,518056bd4d26508f284d28ff004f0aebef3d44877e19f27d9479f99d5e1f7046,bilinear,constant_0
pytorch,42,5,4,strict_sample_id,10251,9bd8833e1afe8a25d21743a5d9c7bb542d207fffec6ede029a68c96d739915a2,bilinear,constant_0
pytorch,42,6,5,strict_sample_id,10251,9c04789c05c30b07049d644db54e05e89eac1568d7f6fc9257e447c1a8c11901,bilinear,constant_0
pytorch,42,7,6,strict_sample_id,10251,1c494a8c8e18bb88bf8a636de5bc8a753c7f45095c7c369d32b40bfe6bedd095,bilinear,constant_0
pytorch,42,8,7,strict_sample_id,10251,00817b0edefe296718704ef7a885425adea2db32fe3cfc8efe862dab097654c9,bilinear,constant_0
pytorch,42,9,8,strict_sample_id,10251,e052b3210813414a336ed6f59970ec4708a9aa255b02c1189ea6ced2acc1291d,bilinear,constant_0
pytorch,42,10,9,strict_sample_id,10251,ae16606582911abe106ed8549c0b82777f51408bd2ed65fd6eb604d34c927fc4,bilinear,constant_0
pytorch,42,11,10,strict_sample_id,10251,d0e629402d88d13d11f8ef9968b9a4c7a00e359d3da5c3f1b57113beebbb9f41,bilinear,constant_0
pytorch,42,12,11,strict_sample_id,10251,55419a0df3762125e35bab9d2f39dec3f8de7ca2bb2bf2734b5d8fdec9c2f46b,bilinear,constant_0
pytorch,42,13,12,strict_sample_id,10251,131c95532e31169ba80ed3d84b4ca6bfce534de39b3456b38df104145a08c399,bilinear,constant_0
pytorch,42,14,13,strict_sample_id,10251,ad5c4ce009fdddb29a303d70933dcffabf7e7873dbb6cbd9073e367a578ae228,bilinear,constant_0
pytorch,42,15,14,strict_sample_id,10251,603d645d80d0fa2d444019e92ec0fde783d14c2f0bc6ee297b889edca8e6ce6a,bilinear,constant_0
pytorch,42,16,15,strict_sample_id,10251,508037bd7fea71055cf238d6638224a8c15c38c66ac47c5ca9a866528e58415d,bilinear,constant_0
pytorch,42,17,16,strict_sample_id,10251,18a0bc37fd9a61c55970a7b50ae67f499d18a2488b1a5cf1524b59ee9a83b66d,bilinear,constant_0
pytorch,42,18,17,strict_sample_id,10251,7d17ecf79c9407723d781d21ba8eebe35a1b56cfc9917675e7c52435c3606f80,bilinear,constant_0
pytorch,42,19,18,strict_sample_id,10251,d7717829d9729cf291f09a6784dbab16a4bef6138b604c0965c548262135452e,bilinear,constant_0
