layer,shape,keras_mean,pytorch_mean,keras_std,pytorch_std,mean_abs_diff,max_abs_diff,mse,rmse,cosine_similarity
input,"[32, 128, 128, 3]",0.43867515412269853,0.43867515412269853,0.2483000252159659,0.2483000252159659,0.0,0.0,0.0,0.0,1.0
conv1,"[32, 128, 128, 32]",0.03263152688474355,0.03263152688474355,0.19429497264623596,0.19429497264623596,0.0,0.0,0.0,0.0,1.0
bn1,"[32, 128, 128, 32]",3.6347072018827475e-09,2.2253840669425422e-08,0.8601543850158974,0.8601543873342188,6.430814695013303e-08,7.152557373046875e-07,9.496864332488921e-15,9.745185648559458e-08,0.9999999999997089
relu1,"[32, 128, 128, 32]",0.3461528046620952,0.34615281522138086,0.49553740841493116,0.49553741838455523,3.290084489822362e-08,7.152557373046875e-07,4.901388301240256e-15,7.000991573513181e-08,0.9999999999998145
pool1,"[32, 64, 64, 32]",0.4018943789082501,0.4018943902920287,0.5376654067072616,0.5376654159908273,3.603929741343836e-08,7.152557373046875e-07,5.416433028380327e-15,7.359641994268694e-08,0.9999999999999246
conv2,"[32, 64, 64, 64]",0.012989824210285402,0.012989819970788213,0.5605206261416198,0.5605206377415306,6.400272837495807e-08,1.430511474609375e-06,7.65202697398218e-15,8.747586509422001e-08,0.9999999999998352
bn2,"[32, 64, 64, 64]",2.010197563961924e-10,1.6723475163276519e-09,0.9962414920391889,0.9962414866162719,1.5681425664415582e-07,4.291534423828125e-06,4.719141399715419e-14,2.1723584878457375e-07,0.9999999999997861
relu2,"[32, 64, 64, 64]",0.38983452358835546,0.3898345230817556,0.5887495266461596,0.5887495230982025,8.012857993412053e-08,4.291534423828125e-06,2.4732281932453922e-14,1.5726500542858834e-07,0.9999999999998503
pool2,"[32, 32, 32, 64]",0.5408646145607614,0.5408646125335583,0.7051822305056119,0.7051822248154853,1.0042629923002252e-07,3.337860107421875e-06,3.242401305079007e-14,1.8006669056432973e-07,0.9999999999999124
conv3,"[32, 32, 32, 128]",-0.018930495536068404,-0.01893049540693968,0.6826270254169285,0.6826270254170468,1.4240884673930032e-07,2.384185791015625e-06,3.674597636281456e-14,1.916924003783524e-07,0.9999999999998229
bn3,"[32, 32, 32, 128]",-8.326377365364124e-10,3.1549070131538237e-09,0.9980411699704057,0.9980411726600895,2.795574223443415e-07,4.827976226806641e-06,1.4316730611156579e-13,3.783745579601855e-07,0.9999999999997827
relu3,"[32, 32, 32, 128]",0.3791799911568845,0.3791799953621581,0.5863932196261687,0.5863932230892345,1.39812548708378e-07,4.753470420837402e-06,7.073631510067694e-14,2.6596299573564165e-07,0.9999999999998253
pool3,"[32, 16, 16, 128]",0.6349792419507567,0.6349792475876536,0.7423297134870497,0.7423297169572478,1.9944531069954544e-07,4.291534423828125e-06,1.0567143531939497e-13,3.2507143110306537e-07,0.9999999999998892
conv4,"[32, 16, 16, 256]",0.009668882732653844,0.009668882988082758,0.7519604440836202,0.751960450083981,2.4792105589310776e-07,3.337860107421875e-06,1.0700964849040484e-13,3.2712329249138595e-07,0.9999999999997938
bn4,"[32, 16, 16, 256]",4.236538286850333e-09,-2.7372949487310724e-09,0.998344620885277,0.998344617414582,4.485928965332266e-07,6.9141387939453125e-06,3.526691795621251e-13,5.938595621543238e-07,0.9999999999997128
relu4,"[32, 16, 16, 256]",0.385162520648222,0.3851625164556191,0.5888637617330923,0.5888637567120066,2.242728163661539e-07,6.9141387939453125e-06,1.7562560407262762e-13,4.1907708607442093e-07,0.9999999999997405
pool4,"[32, 8, 8, 256]",0.759315596911907,0.7593155896402533,0.75785619060142,0.7578561849168012,3.5458785762080766e-07,6.9141387939453125e-06,2.847261078500418e-13,5.335973274389985e-07,0.999999999999829
gap,"[32, 256]",0.7593155963029403,0.7593155894221582,0.27153309888101396,0.27153309839144346,7.475091479136609e-08,5.960464477539062e-07,1.0564664174408413e-14,1.027845522168016e-07,0.9999999999999936
fc128,"[32, 128]",-0.01817262443620038,-0.018172624527618808,0.94830425298416,0.9483042396037934,1.8233511411835934e-07,1.1920928955078125e-06,5.71923586837944e-14,2.3914923935441316e-07,0.9999999999999695
dense128_relu,"[32, 128]",0.3600305320189605,0.360030527966849,0.5413992241036764,0.5413992213225562,8.983718657873396e-08,1.1920928955078125e-06,2.6813845870487963e-14,1.637493385345051e-07,0.9999999999999691
logits,"[32, 8]",-0.05624425847781822,-0.05624425414134748,1.3321694305714935,1.3321694187286643,1.8897117115557194e-07,8.195638656616211e-07,6.223385522197145e-14,2.494671425698612e-07,0.9999999999999828
