parameter,shape,keras_mean,pytorch_mean,keras_std,pytorch_std,mean_abs_diff,max_abs_diff,mse,rmse,cosine_similarity
conv1/kernel,"[3, 3, 3, 32]",-0.010970418760633847,-0.010971185932686678,0.05901494819786766,0.05901579497452779,1.7011322968216888e-06,4.766881465911865e-05,3.0007653281680535e-11,5.477924176335461e-06,0.9999999959672413
bn1/gamma,[32],-1.4781307527300669e-05,-1.4780847777728923e-05,0.01147235249070732,0.011472328975061254,9.148379831458442e-08,3.2031675800681114e-07,1.6220542800757555e-14,1.2735989478936277e-07,0.9999999999404798
bn1/beta,[32],0.002018251867411891,0.0020181850813969504,0.009978617545305858,0.009978527486250461,1.961452653631568e-07,1.7210841178894043e-06,1.235164153641781e-13,3.514490224259816e-07,0.9999999994538487
conv2/kernel,"[3, 3, 32, 64]",-9.201448105520014e-05,-9.20141763484218e-05,0.010252272037897804,0.010252261777518172,7.793617563657386e-08,2.87545844912529e-06,1.3881824144110497e-14,1.178211532115965e-07,0.9999999999344704
bn2/gamma,[64],4.537341737886891e-07,4.5457454689312726e-07,0.007477973626199547,0.007477977048899576,5.2734321798197925e-08,2.0954757928848267e-07,4.860253557884139e-15,6.971551877368581e-08,0.9999999999566477
bn2/beta,[64],-0.00030205251641746145,-0.0003020523363375105,0.005390198979874719,0.0053901983258242085,4.529101715888828e-08,1.4388933777809143e-07,3.559906894346821e-15,5.966495532845744e-08,0.9999999999389364
conv3/kernel,"[3, 3, 64, 128]",-0.0002427167644135765,-0.0002427155696072979,0.006068593721295376,0.006068591669937702,4.054365470512127e-08,3.67872416973114e-07,3.0541169870371274e-15,5.526406596548183e-08,0.9999999999586492
bn3/gamma,[128],1.2462595904594309e-05,1.2462355698517058e-05,0.004084176222693388,0.004084171044684264,2.6431578703522973e-08,1.73225998878479e-07,1.3353430350845284e-15,3.654234577971875e-08,0.9999999999607774
bn3/beta,[128],0.00035509727968019433,0.00035509676683886937,0.0028352235008319475,0.0028352197146909665,2.5359327082696836e-08,1.0314397513866425e-07,1.173157388972055e-15,3.425138521245608e-08,0.9999999999290495
conv4/kernel,"[3, 3, 128, 256]",-1.647540693479949e-05,-1.647558704813462e-05,0.003575071027875061,0.0035750710029841203,4.573484645396346e-09,2.3636966943740845e-06,8.398948392807543e-16,2.898093924083128e-08,0.9999999999671093
bn4/gamma,[256],0.002151183586448724,0.002151183136220425,0.016867620080533573,0.016867619425088708,2.4083703920041444e-09,1.862645149230957e-08,1.1310469098392426e-17,3.363104086761578e-09,0.9999999999999815
bn4/beta,[256],0.002264432686388318,0.0022644325648570884,0.01675658990051996,0.016756589686485943,1.90505033970112e-09,7.450580596923828e-09,6.784790155788599e-18,2.604762974972694e-09,0.9999999999999882
fc128/kernel,"[256, 128]",0.0030925728283053497,0.0030925721709440263,0.021462253830616944,0.021462253232394306,2.326823936651956e-09,2.9802322387695312e-08,1.5977915067015308e-17,3.99723843009337e-09,0.9999999999999807
fc128/bias,[128],0.004192857516954973,0.004192856767986086,0.027876293109469222,0.02787629256023064,2.0522747945506126e-09,1.1175870895385742e-08,1.1476793509483337e-17,3.387741653296977e-09,0.999999999999993
logits/kernel,"[128, 8]",6.939626651103481e-10,-2.091308015650384e-09,0.07572040322302964,0.07572040186607192,6.941922592318406e-09,8.940696716308594e-08,1.7083603718002594e-16,1.3070426051970377e-08,0.9999999999999855
logits/bias,[8],2.7939677238464355e-09,-7.450580596923828e-09,0.1225840466649536,0.1225840445907578,1.3969838619232178e-08,3.725290298461914e-08,4.0939474033052647e-16,2.0233505389094754e-08,0.9999999999999866
