seed,parameter,layer,shape,num_elements,keras_mean,pytorch_mean,keras_std,pytorch_std,keras_norm,pytorch_norm,norm_ratio,mean_abs_diff,median_abs_diff,max_abs_diff,mse,rmse,l2_norm_difference,relative_l2_error,cosine_similarity,sign_mismatch_ratio,nonzero_difference_ratio,p50_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,p99_9_abs_diff
123,conv1/kernel,conv1,"[3, 3, 3, 32]",864,0.00022407719168566272,0.00022452155799665316,0.000973585412952243,0.0009744366597752399,0.0293656326433318,0.029392947080994852,1.0009301498113392,9.46458857032229e-07,1.6239937394857407e-07,0.00011045671999454498,3.295701198265949e-11,5.740819800573738e-06,0.0001687449506000633,0.005741001408775776,0.9999839373103,0.0,1.0,1.6239937394857407e-07,1.5413388609886174e-06,2.8433278203010474e-06,9.168609976768495e-06,0.0001101400498300791
123,bn1/gamma,bn1,[32],32,0.00012430362403392792,0.00012498721480369568,0.0009903175852357497,0.0009921040815553614,0.005646040199857268,0.005656549655054939,1.0018613851169422,1.864507794380188e-06,4.76837158203125e-07,1.7642974853515625e-05,1.597555421284369e-11,3.9969431085322805e-06,2.2610124608480115e-05,0.003997158336314563,0.9999937256513333,0.0,1.0,4.76837158203125e-07,3.993511199951175e-06,8.38041305541992e-06,1.5462636947631844e-05,1.742494106292728e-05
123,bn1/beta,bn1,[32],32,6.212861626408994e-05,6.248823774512857e-05,0.000997081433544565,0.0009980145391935008,0.005651283323502867,0.005656678319432655,1.0009546497000692,9.542491170577705e-07,5.133915692567825e-07,4.0549784898757935e-06,1.9223911665753267e-12,1.3865032154940452e-06,7.843246606502338e-06,0.001386546337549028,0.9999994930703916,0.0,1.0,5.133915692567825e-07,2.5135464966297155e-06,3.020674921572208e-06,3.774677170440556e-06,4.026948357932274e-06
123,conv2/kernel,conv2,"[3, 3, 32, 64]",18432,1.5495727596872812e-06,1.5115317827015435e-06,0.0009973428989460752,0.0009998856774510755,0.13540392541786905,0.1357491361540423,1.0025494883926584,2.714649336136669e-06,5.792826414108276e-07,0.0006899908185005188,3.044133667921018e-10,1.7447445852963745e-05,0.002368743797187028,0.017449420779363775,0.999850612401111,0.0,1.0,5.792826414108276e-07,3.635883331298828e-06,7.213000208139421e-06,3.4614366013556334e-05,0.00026362350583082313
123,bn2/gamma,bn2,[64],64,4.0046870708465576e-08,-9.313225746154785e-10,0.0009989604243008437,0.0009999619809527428,0.007991683400828432,0.007999695847625412,1.0010025981254649,1.0021030902862549e-06,6.556510925292969e-07,5.9604644775390625e-06,2.0254908861261356e-12,1.423197416427579e-06,1.1385579331420632e-05,0.0014232515270940292,0.9999994882601896,0.0,1.0,6.556510925292969e-07,2.0265579223632812e-06,2.9563903808593696e-06,4.6461820602416935e-06,5.829036235809336e-06
123,bn2/beta,bn2,[64],64,-1.205753505928442e-07,-4.045432433485985e-09,0.0009976935993627647,0.0009999262490438339,0.007981548853190214,0.007999409992416138,1.0022378036587203,2.2411495592677966e-06,9.479117579758167e-07,2.567889168858528e-05,2.093525389264648e-11,4.57550586193991e-06,3.660404689551928e-05,0.004575843334723666,0.9999920056928592,0.0,1.0,9.479117579758167e-07,4.76018758490682e-06,7.384753553196781e-06,2.016990678384898e-05,2.5127993198111694e-05
123,conv3/kernel,conv3,"[3, 3, 64, 128]",73728,2.998871414147983e-05,2.9828568723170672e-05,0.0009958824944037198,0.0009993709491064196,0.2705335549479643,0.2714790431242047,1.0034949016820565,3.7385326885599725e-06,9.08970832824707e-07,0.000712178647518158,4.3037088903261333e-10,2.074538235445694e-05,0.005632973007799391,0.02074920017020335,0.9997900689166223,0.0,1.0,9.08970832824707e-07,5.063600838184357e-06,1.0188668966293335e-05,5.165106616914247e-05,0.00032441607862711025
123,bn3/gamma,bn3,[128],128,-7.909350097179413e-05,-7.817568257451057e-05,0.0009918701091710157,0.0009967592078590005,0.011257350852063329,0.011311673861197762,1.0048255588591233,4.962552338838577e-06,1.1622905731201172e-06,0.0001500844955444336,3.2279781625454973e-10,1.7966574972836358e-05,0.00020326859196782558,0.017969806631810196,0.9998493509996136,0.0,1.0,1.1622905731201172e-06,5.865097045898436e-06,1.2505054473876927e-05,9.497106075286877e-05,0.00014409679174423308
123,bn3/beta,bn3,[128],128,-9.267453197026043e-05,-9.371115447720513e-05,0.0009910398027121632,0.000995443023934086,0.011261252275291848,0.011311946785574905,1.0045016761052663,4.567944870359497e-06,1.5773111954331398e-06,0.00013152387691661716,1.8240004070357572e-10,1.3505555919827059e-05,0.00015279792279366134,0.01350765926414281,0.9999184480246254,0.0,1.0,1.5773111954331398e-06,6.547290831804273e-06,1.5076162526383979e-05,3.701047273352745e-05,0.00011976037907879974
123,conv4/kernel,conv4,"[3, 3, 128, 256]",294912,-3.40313519290684e-06,-3.494701154830674e-06,0.0009943660316271143,0.0009997149117655577,0.5400015987846394,0.542906505604478,1.0053794411467976,5.770581126619669e-06,1.5459954738616943e-06,0.0007002074271440506,7.244585264875155e-10,2.6915767246866947e-05,0.014616822943563562,0.026923278304224838,0.9996500106379232,0.0,1.0,1.5459954738616943e-06,8.597970008850098e-06,1.6940757632255554e-05,7.864812389016154e-05,0.0004517247322946801
