seed,parameter,keras_native_delta_norm,keras_reference_delta_norm,keras_native_vs_reference_mean_abs_diff,keras_native_vs_reference_max_abs_diff,keras_native_vs_reference_relative_l2,pytorch_native_delta_norm,pytorch_reference_delta_norm,pytorch_native_vs_reference_mean_abs_diff,pytorch_native_vs_reference_max_abs_diff,pytorch_native_vs_reference_relative_l2,reference_keras_grad_vs_pytorch_grad_delta_mean_abs_diff,reference_keras_grad_vs_pytorch_grad_delta_max_abs_diff,reference_keras_grad_vs_pytorch_grad_delta_relative_l2
2026,conv1/kernel,0.02933527591611179,0.029390275563266045,2.196036197933296e-06,0.0006137527504587709,0.023590150024806297,0.029388562901444645,0.029388565154989933,1.5388684391680629e-09,7.31842402022613e-09,2.105128786497422e-06,2.118782073281768e-06,0.0018234402277784885,0.062042540007386
2026,bn1/gamma,0.0056502418755026715,0.005656644849535182,1.1344203053849714e-06,9.418809278545189e-06,0.0024532302865439316,0.0056566339270832005,0.005656644850531237,2.772301120878293e-08,5.892693833971577e-08,3.646561679248571e-05,1.7949349146763327e-13,4.157147282662921e-12,7.487271096408831e-10
2026,bn1/beta,0.005648953373597714,0.005656602350699619,1.3576831705197626e-06,1.758313614438618e-05,0.003490927578958827,0.005656601978052549,0.00565660235290745,7.617033180817813e-11,2.0072458127053106e-10,9.387197310092123e-08,4.0493814085305196e-13,7.9568138102587e-12,1.5655707679959191e-09
2026,conv2/kernel,0.13544390830041664,0.13575081055298593,2.3992868013288583e-06,0.000697802964285989,0.015504342388108324,0.13575079258413117,0.13575080449806115,9.352320706249002e-10,3.927397166161861e-09,1.2851454022174966e-06,1.0880400222511815e-10,5.957548414018852e-07,5.925423153642033e-06
2026,bn2/gamma,0.007978485348009004,0.00799930532976899,2.6231288393859493e-06,4.2949567244309275e-05,0.006739882420031699,0.007999286246748467,0.007999305340959181,2.4670230846972552e-08,5.836436186277584e-08,3.227428530511151e-05,1.691997097850095e-12,8.899244535731654e-11,1.1207012680748296e-08
2026,bn2/beta,0.007982101711628446,0.007999429830095635,2.17225276952773e-06,1.629425036232899e-05,0.004049142756373107,0.007999429283100554,0.00799942982895412,7.709445611403846e-11,2.2861701073906282e-10,9.642905029701998e-08,3.0729017014329355e-13,4.932474350835547e-12,9.089819905355532e-10
2026,conv3/kernel,0.2706399235420313,0.27148552263081827,3.327973516576274e-06,0.0006978569613246907,0.019040554609736034,0.27148536090483183,0.27148538236351294,6.153803365540135e-10,2.1379780675880034e-09,8.058861839577955e-07,1.9483890822657356e-09,7.000854822105583e-05,0.00028247132197712895
2026,bn3/gamma,0.011282125689449288,0.01131268677768853,2.7225643579694133e-06,5.681191750555388e-05,0.006871559610395781,0.011312630609944573,0.011312686777106253,2.5503338736815374e-08,5.90040184842832e-08,3.234951699904179e-05,4.3220587800710513e-13,1.3306726163661575e-11,1.7497614090880696e-09
2026,bn3/beta,0.011270763537269522,0.011312309126228293,3.7078899019364256e-06,7.081900919490608e-05,0.008964644510299921,0.011312308333328174,0.011312309119557282,7.887732984875203e-11,2.174881581253063e-10,9.416795894070447e-08,9.813128127201132e-13,5.0438051738682654e-11,5.430723357537931e-09
2026,conv4/kernel,0.5405503040673216,0.5429380351089501,4.71163402949755e-06,0.0006980415996565688,0.02330662331108184,0.5429379142134039,0.542937960022154,4.786805381384519e-10,2.1771979108898415e-09,6.522602706733528e-07,1.1691585862831136e-09,8.082097385214866e-05,0.00019595484713755504
2026,bn4/gamma,0.015951835410419675,0.015998113247414656,3.0969544441854592e-06,0.0002609853543905571,0.01962654852480855,0.015998078534442007,0.015998113373013684,2.777348624957967e-08,5.965878137445708e-08,3.55026997315347e-05,8.536421179133793e-12,1.4936197996733708e-09,1.002726403617935e-07
2026,bn4/beta,0.015936772394672873,0.015997515577888748,4.070615926680524e-06,0.0002714198435254118,0.022801842495627753,0.01599751494559051,0.015997516114302033,8.716906094798804e-11,2.4559492503919977e-10,1.0299728182731503e-07,3.407433874005872e-11,6.860064884857062e-09,4.352534248438557e-07
2026,fc128/kernel,0.1571630867775509,0.1575574499267546,2.0403205263089386e-06,0.0006974048212551483,0.01680049261130952,0.15755746043816427,0.15755747518794502,9.297194547972602e-10,7.507734171548555e-09,1.6075715260371931e-06,3.4719077011523436e-10,5.91652562787837e-06,4.356759872295021e-05
2026,fc128/bias,0.009828629558674059,0.009848198728826172,1.5220819713753323e-06,5.6555693899000125e-05,0.006657796689152967,0.009848198015750825,0.009848198741170556,6.555118135344112e-11,2.2623241756510037e-10,1.0203670966368796e-07,1.00077533438873e-12,1.0748161952470192e-10,1.1004451390917286e-08
2026,logits/kernel,0.027770354769718886,0.02785385887925584,2.3226602690354953e-06,0.00010443113985268617,0.011608248561552804,0.027853869272042385,0.027853858880891404,1.9612804644883937e-09,7.555640362064825e-09,3.3440361731637263e-06,8.504159053660757e-13,2.639962577970917e-10,1.0233805419985225e-08
2026,logits/bias,0.0028263372949604904,0.0028283611866703603,7.170979656135809e-07,5.219190561054883e-06,0.0018467013168461273,0.0028283609563033853,0.0028283611874417797,8.319359440169156e-11,1.6493238849321634e-10,1.0300970141876897e-07,2.7315064272948053e-13,2.182180000934175e-12,7.715352598745959e-10
