seed,parameter,rank,flat_index,canonical_index,keras_value,pytorch_value,absolute_difference
42,conv1/kernel,1,341,"[1, 0, 1, 21]",-0.000981554388999939,0.0009978115558624268,0.0019793659448623657
42,conv1/kernel,2,373,"[1, 0, 2, 21]",0.000962577760219574,0.0009996667504310608,3.7088990211486816e-05
42,conv1/kernel,3,255,"[0, 2, 1, 31]",-0.0009642466902732849,-0.0009987875819206238,3.454089164733887e-05
42,conv1/kernel,4,326,"[1, 0, 1, 6]",-0.0009682383388280869,-0.0009989142417907715,3.067590296268463e-05
42,conv1/kernel,5,614,"[2, 0, 1, 6]",0.0009721145033836365,0.0009990334510803223,2.691894769668579e-05
42,conv1/kernel,6,525,"[1, 2, 1, 13]",0.00097617506980896,0.0009992346167564392,2.3059546947479248e-05
42,conv1/kernel,7,204,"[0, 2, 0, 12]",-0.000982031226158142,-0.0009993985295295715,1.7367303371429443e-05
42,conv1/kernel,8,790,"[2, 2, 0, 22]",0.0009837746620178223,0.0009994655847549438,1.5690922737121582e-05
42,conv1/kernel,9,713,"[2, 1, 1, 9]",0.0009854882955551147,0.000999554991722107,1.4066696166992188e-05
42,conv1/kernel,10,759,"[2, 1, 2, 23]",-0.0009865881875157356,-0.000999579206109047,1.299101859331131e-05
42,bn1/gamma,1,18,[18],-0.0009864568710327148,-0.0009995698928833008,1.3113021850585938e-05
42,bn1/gamma,2,23,[23],0.000997304916381836,0.0009999275207519531,2.6226043701171875e-06
42,bn1/gamma,3,5,[5],-0.0009981393814086914,-0.0009999275207519531,1.7881393432617188e-06
42,bn1/gamma,4,9,[9],0.0009982585906982422,0.0009999275207519531,1.6689300537109375e-06
42,bn1/gamma,5,27,[27],-0.000998377799987793,-0.0009999275207519531,1.5497207641601562e-06
42,bn1/gamma,6,26,[26],0.000998854637145996,0.0009999275207519531,1.0728836059570312e-06
42,bn1/gamma,7,2,[2],-0.0009989738464355469,-0.0009999871253967285,1.0132789611816406e-06
42,bn1/gamma,8,13,[13],0.0009989738464355469,0.0009999275207519531,9.5367431640625e-07
42,bn1/gamma,9,12,[12],-0.000999152660369873,-0.0009999871253967285,8.344650268554688e-07
42,bn1/gamma,10,22,[22],0.0009990930557250977,0.0009999275207519531,8.344650268554688e-07
42,bn1/beta,1,18,[18],-0.0009922418976202607,-0.000999760814011097,7.518916390836239e-06
42,bn1/beta,2,12,[12],-0.0009930640226230025,-0.0009997914312407374,6.727408617734909e-06
42,bn1/beta,3,27,[27],-0.000995102571323514,-0.0009998470777645707,4.744506441056728e-06
