parameter,delta_norm_keras,delta_norm_pytorch,delta_mean_abs_diff,delta_max_abs_diff,updated_weight_max_abs_diff
conv1/kernel,0.029366018250584602,0.029392968863248825,3.193385737176868e-06,0.0019793659448623657,0.0019793659448623657
bn1/gamma,0.005650663748383522,0.00565668661147356,1.0672956705093384e-06,1.3113021850585938e-05,1.3113021850585938e-05
bn1/beta,0.005650464445352554,0.005656655877828598,1.096199412131682e-06,7.518916390836239e-06,7.518916390836239e-06
conv2/kernel,0.13543951511383057,0.13575109839439392,3.0762287224206375e-06,0.001863064244389534,0.001863064244389534
bn2/gamma,0.007974724285304546,0.00799906998872757,3.0659139156341553e-06,3.921985626220703e-05,3.921985626220703e-05
bn2/beta,0.00797868799418211,0.00799928791821003,2.5933941287803464e-06,4.073453601449728e-05,4.073453601449728e-05
conv3/kernel,0.27064064145088196,0.27148672938346863,4.018948402517708e-06,0.0019028298556804657,0.0019028298556804657
bn3/gamma,0.0112433647736907,0.01131173875182867,6.997492164373398e-06,0.0004157423973083496,0.0004157423973083496
bn3/beta,0.011274658143520355,0.011312420479953289,3.372085757291643e-06,8.455809438601136e-05,8.455809438601136e-05
conv4/kernel,0.5405424237251282,0.5429359078407288,4.791519131686073e-06,0.0019819196313619614,0.0019819196313619614
bn4/gamma,0.015990788117051125,0.01599983498454094,5.660112947225571e-07,9.179115295410156e-06,9.179115295410156e-06
bn4/beta,0.015988795086741447,0.01599963754415512,6.842615221103188e-07,5.570193752646446e-05,5.570193752646446e-05
fc128/kernel,0.1557704359292984,0.15594230592250824,8.470420311823545e-07,0.00039821304380893707,0.00039821304380893707
fc128/bias,0.00974132027477026,0.009746618568897247,4.06611889047781e-07,2.7926464099437e-05,2.7926464099437e-05
logits/kernel,0.027437418699264526,0.027562566101551056,3.6792562241316773e-06,0.00040815770626068115,0.00040815770626068115
logits/bias,0.0028282003477215767,0.002828420139849186,7.779453881084919e-08,2.0035076886415482e-07,2.0035076886415482e-07
