seed,layer,keras_hash,pytorch_hash,canonical_hash,max_abs_diff,mean_abs_diff,mse,match
42,conv1/kernel,4503a04279ce116cd667719748c420b3f63ab44a3b77634601ab1b4c39f9148b,4503a04279ce116cd667719748c420b3f63ab44a3b77634601ab1b4c39f9148b,4503a04279ce116cd667719748c420b3f63ab44a3b77634601ab1b4c39f9148b,0.0,0.0,0.0,True
42,bn1/gamma,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,0.0,0.0,0.0,True
42,bn1/beta,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,0.0,0.0,0.0,True
42,bn1/mean,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca,0.0,0.0,0.0,True
42,bn1/variance,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,b638277a8690e175a9137feff1e43c067f9faf4e2f600caf468fb05b0403b717,0.0,0.0,0.0,True
42,conv2/kernel,7cd9181ac5985007a754ddcafbda0fa39aef7b7807af04db673ea7f73a4f14e4,7cd9181ac5985007a754ddcafbda0fa39aef7b7807af04db673ea7f73a4f14e4,7cd9181ac5985007a754ddcafbda0fa39aef7b7807af04db673ea7f73a4f14e4,0.0,0.0,0.0,True
42,bn2/gamma,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,0.0,0.0,0.0,True
42,bn2/beta,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,0.0,0.0,0.0,True
42,bn2/mean,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1,0.0,0.0,0.0,True
42,bn2/variance,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,2f20cd03c9cd392a406c56232b0ff93a15f6d6d7da79086bfa14f55d4a4031b0,0.0,0.0,0.0,True
