seed,parameter,shape,num_elements,keras_mean,pytorch_mean,keras_std,pytorch_std,keras_norm,pytorch_norm,norm_ratio,mean_abs_diff,median_abs_diff,max_abs_diff,mse,rmse,l2_norm_difference,relative_l2_error,cosine_similarity,sign_mismatch_ratio,nonzero_difference_ratio,p50_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,p99_9_abs_diff
123,conv1/kernel,"[3, 3, 3, 32]",864,3.603067811744974e-06,3.603184597571121e-06,7.768197484171313e-06,7.768325504831997e-06,0.000251703236361947,0.0002517080944660347,1.0000193009202343,2.599488276176113e-10,1.546851535749738e-11,1.5159457689151168e-08,1.814046759249169e-18,1.3468655312425101e-09,3.958959964424094e-08,0.00015728377638480405,0.999999987816927,0.0,0.9988425925925926,1.546851535749738e-11,4.4610715121962233e-10,9.426088354302915e-10,4.790827006218065e-09,1.3980547009850931e-08
123,bn1/gamma,[32],32,1.3161339251901777e-07,1.3161285436025325e-07,2.3836609844408618e-07,2.3836383005822647e-07,1.540290694411372e-06,1.5402779895889475e-06,0.9999917516722846,1.6567873917412712e-12,7.602807272633072e-13,1.9667822925839573e-11,1.4739248120594282e-23,3.839172843282037e-12,2.1717641213055736e-11,1.4099702927410865e-05,0.9999999999346162,0.0,1.0,7.602807272633072e-13,3.3168134905281477e-12,4.530420483206398e-12,1.522721504443327e-11,1.9223762137699008e-11
123,bn1/beta,[32],32,1.0364481367944323e-07,1.0364274640600746e-07,1.4815489741053605e-07,1.4814649455870897e-07,1.0228137039265435e-06,1.0227680516342079e-06,0.9999553659750936,4.945339276973826e-12,1.2856382625159313e-12,8.168399290298112e-11,2.2446529241836923e-22,1.4982165812003592e-11,8.475192834023197e-11,8.286154948342253e-05,0.999999997562971,0.0,1.0,1.2856382625159313e-12,8.358824743481821e-12,1.1701217772497328e-11,6.030916210875157e-11,7.954650982355849e-11
123,conv2/kernel,"[3, 3, 32, 64]",18432,1.0511619516196222e-07,1.051159848184396e-07,1.859372586197383e-07,1.8593733627461944e-07,2.899838190792323e-05,2.8998377031719436e-05,0.9999998318456592,1.338608573918363e-12,4.902744876744691e-13,3.1093350116861984e-11,6.642965484259838e-24,2.577395096654729e-12,3.49918761723171e-10,1.2066837481975595e-05,0.9999999999272083,0.0,0.9973958333333334,4.902744876744691e-13,3.701927653310122e-12,5.562839078265835e-12,1.0336691502743596e-11,1.9050389710173834e-11
123,bn2/gamma,[64],64,5.5919369491234244e-08,5.5919421323904345e-08,8.445615604293093e-08,8.445596742997064e-08,8.103260845993327e-07,8.103250553986873e-07,0.9999987298932307,6.025865570413735e-13,3.7625458304546555e-13,4.121147867408581e-12,8.652000206547642e-25,9.301612874414653e-13,7.441290299531723e-12,9.183081281668333e-06,0.999999999958642,0.0,0.96875,3.7625458304546555e-13,1.3988810110276976e-12,1.8943069335364256e-12,3.0244251547628622e-12,4.011475596144018e-12
123,bn2/beta,[64],64,2.9145105768013982e-08,2.9145098775994172e-08,4.682304172231339e-08,4.6823075283812606e-08,4.4122262327188785e-07,4.412228216542595e-07,1.0000004496196733,3.316529993344086e-13,1.7719159473017498e-13,2.1387336346379016e-12,2.7724996405066093e-25,5.265453105390465e-13,4.212362484312372e-12,9.547018598265443e-06,0.9999999999545285,0.0,1.0,1.7719159473017498e-13,8.731682044071932e-13,1.1887379969266457e-12,1.749285161167789e-12,2.0997887872908933e-12
123,conv3/kernel,"[3, 3, 64, 128]",73728,3.6886266284425745e-08,3.688624079893863e-08,7.417420326461551e-08,7.417415556391208e-08,2.2493370044048012e-05,2.249335536547134e-05,0.9999993474265242,3.7392813696640665e-13,1.6996126728230365e-13,1.3642420526593924e-11,4.863727175853672e-25,6.974042712698046e-13,1.8936548714624305e-10,8.418724574192973e-06,0.9999999999647724,0.0,0.9960394965277778,1.6996126728230365e-13,9.414691248821327e-13,1.4210854715202004e-12,2.8421709430404007e-12,5.3652513543056855e-12
123,bn3/gamma,[128],128,1.6680435719830467e-08,1.668039351166159e-08,3.8662213298166103e-08,3.86621703422239e-08,4.763868912273771e-07,4.763862558252522e-07,0.99999866620569,1.6244973633088868e-13,8.03523914072457e-14,2.2737367544323206e-12,9.28797521793085e-26,3.047617958001109e-13,3.447986119309573e-12,7.237785469759843e-06,0.9999999999746968,0.0,0.9921875,8.03523914072457e-14,4.3050008002865064e-13,5.181632900530527e-13,9.26538845646974e-13,2.1057795507317928e-12
123,bn3/beta,[128],128,8.164481225497102e-09,8.16445932216974e-09,1.2647789995977748e-08,1.2647758175287591e-08,1.7031748066294526e-07,1.703170438010875e-07,0.9999974350145618,1.0489764714300212e-13,4.9182879990894435e-14,9.450218385609332e-13,3.050329706968817e-26,1.7465193119369787e-13,1.975961038310241e-12,1.1601633787788505e-05,0.9999999999359906,0.0,0.984375,4.9182879990894435e-14,2.7200464103316335e-13,3.5820235666506016e-13,5.394173996364775e-13,8.97195207016928e-13
123,conv4/kernel,"[3, 3, 128, 256]",294912,1.2781239736554222e-08,1.278123956689453e-08,2.4992765107885923e-08,2.4992764278823958e-08,1.5244349223195345e-05,1.5244348780392302e-05,0.9999999709529718,2.9415134253515656e-14,7.771561172376096e-15,2.3220536604640074e-11,4.6001574781451334e-26,2.144797770920404e-13,1.1647496049343545e-10,7.640533471655886e-06,0.9999999999707986,0.0,0.9761691623263888,7.771561172376096e-15,5.684341886080802e-14,9.592326932761353e-14,2.4868995751603507e-13,2.0871633310559178e-12
123,bn4/gamma,[256],256,2.891404759565711e-07,2.891404512854753e-07,4.499650607802422e-07,4.4996500357861104e-07,8.557693457608542e-06,8.5576924742513e-06,0.9999998850908546,8.265523089237429e-14,1.9539925233402755e-14,1.2505552149377763e-12,2.9032100891109015e-26,1.7038808905292944e-13,2.726209424846871e-12,3.1856824953492944e-07,0.9999999999999559,0.0,0.875,1.9539925233402755e-14,2.2737367544323206e-13,3.765876499528531e-13,6.821210263296962e-13,1.1056044968427346e-12
123,bn4/beta,[256],256,2.8590727904281786e-07,2.859072711606541e-07,4.54372961935839e-07,4.543729411811068e-07,8.589448570862502e-06,8.589448222633743e-06,0.999999959458543,5.90218186180731e-14,1.509903313490213e-14,6.821210263296962e-13,1.5924435148455036e-26,1.2619205659808796e-13,2.0190729055694073e-12,2.3506432210544848e-07,0.9999999999999732,0.0,0.8125,1.509903313490213e-14,1.9895196601282805e-13,2.8421709430404007e-13,5.684341886080801e-13,6.531308827106878e-13
123,fc128/kernel,"[256, 128]",32768,4.701862928440049e-07,4.701862630559312e-07,8.671050219957079e-07,8.671049499860321e-07,0.00017855392280053715,0.00017855390877127896,0.9999999214284515,1.252909433195669e-13,7.105427357601002e-15,3.637978807091713e-12,9.277909346800696e-26,3.0459660777495037e-13,5.513787568232614e-11,3.0880237643348076e-07,0.9999999999999549,0.0,0.621826171875,7.105427357601002e-15,4.3485215428516063e-13,6.821210263296962e-13,1.3642420526593924e-12,2.5011104298755527e-12
123,fc128/bias,[128],128,7.946575360947249e-07,7.946575036888977e-07,1.453401396332121e-06,1.4534013582844614e-06,1.874069358300632e-05,1.8740693029429837e-05,0.9999999704612597,1.2560146065571098e-13,3.406996906818449e-15,1.3642420526593924e-12,7.80953869796443e-26,2.7945551878544875e-13,3.1616782779711267e-12,1.6870657769241116e-07,0.999999999999986,0.0,0.5546875,3.406996906818449e-15,4.547473508864641e-13,6.821210263296962e-13,9.094947017729282e-13,1.30648913909682e-12
123,logits/kernel,"[128, 8]",1024,5.733505622592796e-06,5.733505391033193e-06,2.121845747628668e-05,2.1218458309292707e-05,0.0007033422559343525,0.0007033422797347052,1.0000000338389348,1.4599920607143938e-12,3.530509218307998e-14,8.731149137020111e-11,3.1218463337284614e-23,5.587348506875566e-12,1.787951522200181e-10,2.5420788337572735e-07,0.9999999999999684,0.0,0.6416015625,3.530509218307998e-14,3.3423930290155216e-12,7.275957614183426e-12,2.1827872842550278e-11,7.209018804133198e-11
123,logits/bias,[8],8,1.502665500652256e-05,1.5026654466510081e-05,1.6363321065622103e-05,1.6363325736127557e-05,6.283684505012527e-05,6.283685374698525e-05,1.0000001384038293,4.177991286269389e-12,7.958078640513122e-13,1.4551915228366852e-11,4.53462996740984e-23,6.733966117682684e-12,1.9046532424375497e-11,3.031108543573333e-07,0.9999999999999636,0.0,0.625,7.958078640513122e-13,1.0732037480920552e-11,1.26419763546437e-11,1.416992745362222e-11,1.451371645089239e-11
