seed,parameter,shape,num_elements,keras_mean,pytorch_mean,keras_std,pytorch_std,keras_norm,pytorch_norm,norm_ratio,mean_abs_diff,median_abs_diff,max_abs_diff,mse,rmse,l2_norm_difference,relative_l2_error,cosine_similarity,sign_mismatch_ratio,nonzero_difference_ratio,p50_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,p99_9_abs_diff
42,conv1/kernel,"[3, 3, 3, 32]",864,-3.935468460743626e-05,-3.704198752529919e-05,0.0009991951193644099,0.000999282696703411,0.029392990347811634,0.02939296593557471,0.9999991694537835,2.3135230380662336e-06,1.1641532182693481e-10,0.001997210900299251,4.616727083580303e-09,6.794650162871009e-05,0.0019972111055703103,0.06794855106394462,0.9976914952871803,0.0011574074074074073,0.5150462962962963,1.1641532182693481e-10,6.984919309616089e-10,2.759043127298334e-09,2.6321504265069977e-08,0.00027438786800496544
42,bn1/gamma,[32],32,1.1692463885992765e-08,1.0699295671656728e-08,0.0009999654384360082,0.0009999664748935923,0.005656658740148942,0.005656664603175527,1.0000010364822864,1.1241354513913393e-09,1.1641532182693481e-10,3.1548552215099335e-08,3.118732960142971e-17,5.584561719726062e-09,3.1591051695784846e-08,5.584748948709161e-06,0.9999999999849424,0.0,0.5625,1.1641532182693481e-10,3.4924596548080444e-10,1.0360963642597197e-09,2.2129388526082076e-08,3.060663584619775e-08
42,bn1/beta,[32],32,1.639273250475526e-08,1.5686964616179466e-08,0.0009999643604538379,0.000999965080657799,0.0056566526425343095,0.005656656716559107,1.0000007202183083,7.8580342233181e-10,1.1641532182693481e-10,1.1990778148174286e-08,6.615327318056086e-18,2.572027861057513e-09,1.454958673563599e-08,2.572117677398386e-06,0.9999999999969515,0.0,0.65625,1.1641532182693481e-10,3.376044332981112e-10,4.918547347187993e-09,1.0691583156585699e-08,1.1860858649015447e-08
42,conv2/kernel,"[3, 3, 32, 64]",18432,-5.8862290978191195e-06,-5.750049388729571e-06,0.0009998682782445668,0.0009998849222101795,0.13574897110214715,0.1357511231442231,1.0000158531004582,9.822119421995821e-07,1.1641532182693481e-10,0.001991787808947265,1.826032565830008e-09,4.273210228657149e-05,0.0058015025858288395,0.042736313714806434,0.9990867893937008,0.00048828125,0.5680338541666666,1.1641532182693481e-10,1.1641532182693481e-09,4.540197551250458e-09,1.0580988600849953e-07,6.640347419310423e-06
42,bn2/gamma,[64],64,9.373329521622509e-05,9.373917418997735e-05,0.0009954947282742213,0.0009954909101429557,0.007999182696866404,0.007999156695372609,0.9999967494811932,7.821654435247183e-09,1.1641532182693481e-10,3.083841875195503e-07,1.620618820619233e-15,4.025691022196355e-08,3.220552817757084e-07,4.0261023404537334e-05,0.9999999991948053,0.0,0.625,1.1641532182693481e-10,4.121102392673496e-09,3.589084371924386e-08,1.5876721590757309e-07,2.934224903583538e-07
42,bn2/beta,[64],64,9.377573951496743e-05,9.377872265758924e-05,0.000995507034654363,0.0009955038332329414,0.007999312551935056,0.007999289291649928,0.99999709221449,3.772584022954106e-09,1.1641532182693481e-10,1.6612466424703598e-07,4.632660357759e-16,2.1523615769101156e-08,1.7218892615280925e-07,2.1525465474049548e-05,0.9999999997725542,0.0,0.6875,1.1641532182693481e-10,1.2456439435482028e-09,2.0896550267934753e-09,8.69156792759892e-08,1.5820376574993192e-07
42,conv3/kernel,"[3, 3, 64, 128]",73728,-3.0113295180298235e-05,-3.005101112228835e-05,0.00099939409068218,0.0009993922330447783,0.27148764139659687,0.27148662839683674,0.9999962687076476,1.1427082276958977e-06,1.1641532182693481e-10,0.00198723457287997,2.0896827659996734e-09,4.571304809351126e-05,0.012412418417521378,0.04572001271832836,0.9989548363256545,0.0005696614583333334,0.5996636284722222,1.1641532182693481e-10,1.3969838619232178e-09,5.587935447692871e-09,1.3877986930310394e-07,2.6340884622186778e-05
42,bn3/gamma,[128],128,-1.553609126858646e-05,-1.563751447974937e-05,0.0009995604263181362,0.0009997109316561572,0.011310101204106426,0.011311821660443843,1.0001521167942151,1.5448858903255314e-07,1.1641532182693481e-10,1.6342150047421455e-05,2.175695283555487e-12,1.4750238247416503e-06,1.6687989582184617e-05,0.0014752698621956376,0.9999989231918816,0.0,0.5859375,1.1641532182693481e-10,8.847564458847039e-10,2.3515895009040753e-09,2.470846520736827e-06,1.469592773355568e-05
42,bn3/beta,[128],128,9.377782316732919e-05,9.377897367812693e-05,0.000995480059045193,0.0009954787480646139,0.01131243466250974,0.011312421116644704,0.9999988025685504,1.9690560293383896e-09,1.1641532182693481e-10,1.8440186977386475e-07,2.7080310362165945e-16,1.6456096244907522e-08,1.8617947594612142e-07,1.645794928329038e-05,0.9999999998652847,0.0,0.5625,1.1641532182693481e-10,9.313225746154785e-10,1.7811544239521007e-09,1.8546124920249005e-08,1.635258086025746e-07
42,conv4/kernel,"[3, 3, 128, 256]",294912,-3.603919944888339e-05,-3.6045808971577976e-05,0.0009991276945534866,0.0009991277216212604,0.5429371570162721,0.5429373011041828,1.0000002653859823,6.220116862317344e-08,0.0,0.001998716965317726,1.2166442858812076e-10,1.1030159952970798e-05,0.005990016691444178,0.011032612198981644,0.9999391407178942,3.0517578125e-05,0.3361884223090278,0.0,1.1641532182693481e-10,1.1641532182693481e-10,2.3283064365386963e-10,4.29779756814326e-08
42,bn4/gamma,[256],256,-0.00010156195639865473,-0.00010156195867239148,0.0009948110302504763,0.0009948110268183353,0.01599971053254581,0.01599971048161038,0.9999999968164781,2.5011104298755527e-11,0.0,1.1641532182693481e-10,2.9116757561866574e-21,5.395994585047929e-11,8.633591336076687e-10,5.396092209615085e-08,0.9999999999999986,0.0,0.21484375,0.0,1.1641532182693481e-10,1.1641532182693481e-10,1.1641532182693481e-10,1.1641532182693481e-10
42,bn4/beta,[256],256,-0.00010155562495128834,-0.00010155563222724595,0.0009948072187788723,0.0009948072116364808,0.015999639575890866,0.015999639474026363,0.9999999936333251,2.4556356947869062e-11,0.0,2.3283064365386963e-10,2.964615315390051e-21,5.4448281105927036e-11,8.711724976948326e-10,5.44495076631328e-08,0.9999999999999983,0.0,0.20703125,0.0,1.1641532182693481e-10,1.1641532182693481e-10,1.1641532182693481e-10,2.031447365880051e-10
